index,Summary,word,POS,freq,forms,important,ranking
1242,perfectly|r,perfectly,r,289,perfectly,extremely useful,1242
1243,stare|v,stare,v,289,"stare, stares, staring, stared",extremely useful,1243
1239,complete|j,complete,j,289,"complete, completer, completest",extremely useful,1239
1241,hook|v,hook,v,289,"hook, hooks, hooking, hooked",extremely useful,1241
1240,golf|n,golf,n,289,golf,extremely useful,1240
1244,flag|n,flag,n,288,"flag, flags",extremely useful,1244
1245,jeez|u,jeez,u,288,"jeez, geez",extremely useful,1245
1246,roommate|n,roommate,n,288,"roommate, roommates",extremely useful,1246
1247,ship|n,ship,n,288,"ship, ships",extremely useful,1247
1248,wood|n,wood,n,288,"wood, woods",extremely useful,1248
1249,actor|n,actor,n,287,"actor, actors",extremely useful,1249
1250,break|n,break,n,286,"break, breaks",extremely useful,1250
1252,thanks|fw,thanks,fw,286,thanks,extremely useful,1252
1251,prize|n,prize,n,286,"prize, prizes",extremely useful,1251
1253,corner|n,corner,n,285,"corner, corners",extremely useful,1253
1254,fourth|m,fourth,m,285,"fourth, fourths",extremely useful,1254
1255,sneak|v,sneak,v,285,"sneak, sneaks, sneaking, sneaked, snuck",extremely useful,1255
1256,piss|v,piss,v,284,"piss, pisses, pissing, pissed",extremely useful,1256
1257,pocket|n,pocket,n,284,"pocket, pockets",extremely useful,1257
1258,tip|n,tip,n,284,"tip, tips",extremely useful,1258
1261,queen|n,queen,n,283,"queen, queens",extremely useful,1261
1262,tear|v,tear,v,283,"tear, tears, tearing, tore, torn",extremely useful,1262
1259,alone|r,alone,r,283,alone,extremely useful,1259
1260,lately|r,lately,r,283,lately,extremely useful,1260
1263,especially|r,especially,r,282,especially,extremely useful,1263
1264,lay|v,lay,v,282,"lay, lays, laying, laid",extremely useful,1264
1265,pressure|n,pressure,n,282,"pressure, pressures",extremely useful,1265
1266,rip|v,rip,v,282,"rip, rips, ripping, ripped",extremely useful,1266
1270,North|n,North,n,281,"North, north",extremely useful,1270
1271,often|r,often,r,281,"often, oftener, oftenest",extremely useful,1271
1269,judge|n,judge,n,281,"judge, judges",extremely useful,1269
1268,camp|n,camp,n,281,"camp, camps",extremely useful,1268
1267,assistant|n,assistant,n,281,"assistant, assistants",extremely useful,1267
1272,Halloween|K,Halloween,K,280,"Halloween, Halloweens",extremely useful,1272
1273,vacation|n,vacation,n,280,"vacation, vacations",extremely useful,1273
1274,impossible|j,impossible,j,279,impossible,extremely useful,1274
1275,square|n,square,n,279,"square, squares",extremely useful,1275
1276,left|n,left,n,278,"left, lefts",extremely useful,1276
1277,grandma|n,grandma,n,278,"grandma, grandmas",extremely useful,1277
1278,gross|j,gross,j,278,"gross, grosser, grossest",extremely useful,1278
1279,pal|n,pal,n,278,"pal, pals",extremely useful,1279
1280,smile|v,smile,v,278,"smile, smiles, smiling, smiled",extremely useful,1280
1281,speech|n,speech,n,278,"speech, speeches",extremely useful,1281
1285,safety|n,safety,n,277,"safety, safeties",extremely useful,1285
1287,community|n,community,n,277,"community, communities",extremely useful,1287
1286,test|v,test,v,277,"test, tests, testing, tested",extremely useful,1286
1288,beach|n,beach,n,277,"beach, beaches",extremely useful,1288
1284,handsome|j,handsome,j,277,"handsome, handsomer, handsomest",extremely useful,1284
1282,bust|v,bust,v,277,"bust, busts, busting, busted",extremely useful,1282
1283,gee|u,gee,u,277,gee,extremely useful,1283
1289,gym|n,gym,n,276,"gym, gyms",extremely useful,1289
1290,toast|n,toast,n,276,"toast, toasts",extremely useful,1290
1291,disease|n,disease,n,274,"disease, diseases",extremely useful,1291
1292,paint|v,paint,v,274,"paint, paints, painting, painted",extremely useful,1292
1293,themselves|fw,themselves,fw,274,themselves,extremely useful,1293
1295,pack|v,pack,v,272,"pack, packs, packing, packed",extremely useful,1295
1296,punch|v,punch,v,272,"punch, punches, punching, punched",extremely useful,1296
1294,Monday|K,Monday,K,272,"Monday, Mondays",extremely useful,1294
1297,customer|n,customer,n,271,"customer, customers",extremely useful,1297
1298,healthy|j,healthy,j,271,"healthy, healthier, healthiest",extremely useful,1298
1299,invent|v,invent,v,271,"invent, invents, inventing, invented",extremely useful,1299
1300,princess|n,princess,n,271,"princess, princesses",extremely useful,1300
1301,merry|j,merry,j,270,"merry, merrier, merriest",extremely useful,1301
1302,someday|r,someday,r,270,someday,extremely useful,1302
1306,study|n,study,n,269,"study, studies",extremely useful,1306
1308,terrific|j,terrific,j,269,terrific,extremely useful,1308
1307,sweater|n,sweater,n,269,"sweater, sweaters",extremely useful,1307
1309,wet|j,wet,j,269,"wet, wetter, wettest",extremely useful,1309
1305,solve|v,solve,v,269,"solve, solves, solving, solved",extremely useful,1305
1303,blind|j,blind,j,269,"blind, blinder, blindest",extremely useful,1303
1304,certain|r,certain,r,269,certain,extremely useful,1304
1310,attack|n,attack,n,268,"attack, attacks",extremely useful,1310
1311,beg|v,beg,v,268,"beg, begs, begging, begged",extremely useful,1311
1312,cigarette|n,cigarette,n,268,"cigarette, cigaret, cigarettes, cigarets",extremely useful,1312
1313,sugar|n,sugar,n,268,"sugar, sugars",extremely useful,1313
1314,uhh|u,uhh,u,268,uhh,extremely useful,1314
1315,weekend|n,weekend,n,268,"weekend, weekends",extremely useful,1315
1317,sock|n,sock,n,267,"sock, socks, sox",extremely useful,1317
1316,damn|r,damn,r,267,damn,extremely useful,1316
1318,emergency|n,emergency,n,266,"emergency, emergencies",extremely useful,1318
1319,mood|n,mood,n,266,"mood, moods",extremely useful,1319
1320,peanut|n,peanut,n,266,"peanut, peanuts",extremely useful,1320
1321,stage|n,stage,n,266,"stage, stages",extremely useful,1321
1322,tight|j,tight,j,266,"tight, tighter, tightest",extremely useful,1322
1325,nature|n,nature,n,265,"nature, natures",extremely useful,1325
1326,program|n,program,n,265,"program, programs",extremely useful,1326
1327,straight|r,straight,r,265,straight,extremely useful,1327
1324,moon|n,moon,n,265,"moon, moons",extremely useful,1324
1323,gum|n,gum,n,265,"gum, gums",extremely useful,1323
1328,angel|n,angel,n,264,"angel, angels",extremely useful,1328
1329,corporate|j,corporate,j,264,corporate,extremely useful,1329
1330,damn|v,damn,v,264,"damn, damns, damning, damned",extremely useful,1330
1331,exist|v,exist,v,264,"exist, exists, existing, existed",extremely useful,1331
1332,ghost|n,ghost,n,264,"ghost, ghosts",extremely useful,1332
1333,sauce|n,sauce,n,264,"sauce, sauces",extremely useful,1333
1334,stomach|n,stomach,n,264,"stomach, stomachs",extremely useful,1334
1335,twenty-five|m,twenty-five,m,264,twenty-five,extremely useful,1335
1338,murder|n,murder,n,263,"murder, murders",extremely useful,1338
1339,speed|n,speed,n,263,"speed, speeds",extremely useful,1339
1337,herself|fw,herself,fw,263,herself,extremely useful,1337
1336,block|n,block,n,263,"block, blocks",extremely useful,1336
1340,Jesus|u,Jesus,u,262,Jesus,extremely useful,1340
1341,mix|v,mix,v,262,"mix, mixes, mixing, mixed, mixt",extremely useful,1341
1342,track|n,track,n,262,"track, tracks",extremely useful,1342
1343,opportunity|n,opportunity,n,261,"opportunity, opportunities",extremely useful,1343
1344,society|n,society,n,261,"society, societies",extremely useful,1344
1345,whoo-hoo|u,whoo-hoo,u,261,whoo-hoo,extremely useful,1345
1346,upon|fw,upon,fw,260,upon,extremely useful,1346
1350,market|n,market,n,259,"market, markets",extremely useful,1350
1349,lip|n,lip,n,259,"lip, lips",extremely useful,1349
1348,killer|n,killer,n,259,"killer, killers",extremely useful,1348
1347,difficult|j,difficult,j,259,difficult,extremely useful,1347
1351,goodness|n,goodness,n,258,goodness,extremely useful,1351
1352,pillow|n,pillow,n,258,"pillow, pillows",extremely useful,1352
1353,tie|v,tie,v,258,"tie, ties, tying, tied",extremely useful,1353
1354,arrive|v,arrive,v,257,"arrive, arrives, arriving, arrived",extremely useful,1354
1355,mountain|n,mountain,n,257,"mountain, mountains",extremely useful,1355
1356,slip|v,slip,v,257,"slip, slips, slipping, slipped",extremely useful,1356
1358,museum|n,museum,n,256,"museum, museums, musea",extremely useful,1358
1359,oil|n,oil,n,256,"oil, oils",extremely useful,1359
1360,press|v,press,v,256,"press, presses, pressing, pressed",extremely useful,1360
1361,respect|n,respect,n,256,"respect, respects",extremely useful,1361
1357,belt|n,belt,n,256,"belt, belts",extremely useful,1357
1362,airplane|n,airplane,n,255,"airplane, airplanes",extremely useful,1362
1363,airport|n,airport,n,254,"airport, airports",extremely useful,1363
1364,honestly|r,honestly,r,254,honestly,extremely useful,1364
1367,spell|v,spell,v,253,"spell, spells, spelling, spelled, spelt",extremely useful,1367
1368,whoever|fw,whoever,fw,253,"whoever, whomever",extremely useful,1368
1366,fabulous|j,fabulous,j,253,fabulous,extremely useful,1366
1365,contest|n,contest,n,253,"contest, contests",extremely useful,1365
1369,bell|n,bell,n,252,"bell, bells",extremely useful,1369
1370,friendship|n,friendship,n,252,"friendship, friendships",extremely useful,1370
1371,national|j,national,j,252,national,extremely useful,1371
1372,alien|n,alien,n,251,"alien, aliens",extremely useful,1372
1373,dream|v,dream,v,251,"dream, dreams, dreaming, dreamed, dreamt",extremely useful,1373
1374,fool|n,fool,n,251,"fool, fools",extremely useful,1374
1375,past|fw,past,fw,251,past,extremely useful,1375
1378,near|fw,near,fw,250,near,extremely useful,1378
1379,swim|v,swim,v,250,"swim, swims, swimming, swam, swum",extremely useful,1379
1377,cartoon|n,cartoon,n,250,"cartoon, cartoons",extremely useful,1377
1376,bless|v,bless,v,250,"bless, blesses, blessing, blessed, blest",extremely useful,1376
1380,burger|n,burger,n,249,"burger, burgers",extremely useful,1380
1381,fruit|n,fruit,n,249,"fruit, fruits",extremely useful,1381
1382,roof|n,roof,n,249,"roof, roofs",extremely useful,1382
1383,theory|n,theory,n,249,"theory, theories",extremely useful,1383
1384,according|fw,according,fw,248,according,extremely useful,1384
1385,guilty|j,guilty,j,248,"guilty, guiltier, guiltiest",extremely useful,1385
1386,potato|n,potato,n,248,"potato, potatoes",extremely useful,1386
1390,wrap|v,wrap,v,247,"wrap, wraps, wrapping, wrapped, wrapt",extremely useful,1390
1389,uncomfortable|j,uncomfortable,j,247,uncomfortable,extremely useful,1389
1388,sound|n,sound,n,247,"sound, sounds",extremely useful,1388
1387,dish|n,dish,n,247,"dish, dishes",extremely useful,1387
1391,cheap|j,cheap,j,246,"cheap, cheaper, cheapest",extremely useful,1391
1392,employee|n,employee,n,246,"employee, employe, employees, employes",extremely useful,1392
1393,interview|n,interview,n,246,"interview, interviews",extremely useful,1393
1396,text|v,text,v,245,"text, texts, texting, texted",extremely useful,1396
1397,tour|n,tour,n,245,"tour, tours",extremely useful,1397
1398,treat|n,treat,n,245,"treat, treats",extremely useful,1398
1395,spring|n,spring,n,245,"spring, springs",extremely useful,1395
1394,perform|v,perform,v,245,"perform, performs, performing, performed",extremely useful,1394
1399,awkward|j,awkward,j,244,"awkward, awkwarder, awkwardest",extremely useful,1399
1400,expensive|j,expensive,j,244,expensive,extremely useful,1400
1401,unfortunately|r,unfortunately,r,244,unfortunately,extremely useful,1401
1402,purse|n,purse,n,243,"purse, purses",extremely useful,1402
1403,charge|v,charge,v,242,"charge, charges, charging, charged",extremely useful,1403
1404,ha-ha|u,ha-ha,u,242,ha-ha,extremely useful,1404
1405,divorce|n,divorce,n,241,"divorce, divorces",extremely useful,1405
1406,ring|v,ring,v,241,"ring, rings, ringing, rang, rung",extremely useful,1406
1410,English|K,English,K,240,English,extremely useful,1410
1409,duck|n,duck,n,240,"duck, ducks",extremely useful,1409
1408,brown|j,brown,j,240,"brown, browner, brownest",extremely useful,1408
1407,bra|n,bra,n,240,"bra, bras",extremely useful,1407
1411,celebrity|n,celebrity,n,239,"celebrity, celebrities",extremely useful,1411
1412,double|j,double,j,239,double,extremely useful,1412
1413,period|n,period,n,239,"period, periods",extremely useful,1413
1414,rent|v,rent,v,239,"rent, rents, renting, rented",extremely useful,1414
1415,today|n,today,n,239,today,extremely useful,1415
1421,laundry|n,laundry,n,238,"laundry, laundries",extremely useful,1421
1424,soft|j,soft,j,238,"soft, softer, softest",extremely useful,1424
1423,dress|n,dress,n,238,"dress, dresses",extremely useful,1423
1422,social|j,social,j,238,social,extremely useful,1422
1419,ignore|v,ignore,v,238,"ignore, ignores, ignoring, ignored",extremely useful,1419
1420,language|n,language,n,238,"language, languages",extremely useful,1420
1418,chip|n,chip,n,238,"chip, chips",extremely useful,1418
1417,bye-bye|u,bye-bye,u,238,bye-bye,extremely useful,1417
1416,barely|r,barely,r,238,barely,extremely useful,1416
1425,apology|n,apology,n,237,"apology, apologies",extremely useful,1425
1426,concert|n,concert,n,237,"concert, concerts",extremely useful,1426
1427,disappoint|v,disappoint,v,237,"disappoint, disappoints, disappointing, disappointed",extremely useful,1427
1428,knife|n,knife,n,237,"knife, knives",extremely useful,1428
1430,judge|v,judge,v,236,"judge, judges, judging, judged",extremely useful,1430
1429,hilarious|j,hilarious,j,236,hilarious,extremely useful,1429
1435,neighborhood|n,neighborhood,n,235,"neighborhood, neighborhoods",extremely useful,1435
1437,West|n,West,n,235,"West, west",extremely useful,1437
1436,trap|v,trap,v,235,"trap, traps, trapping, trapped",extremely useful,1436
1431,blanket|n,blanket,n,235,"blanket, blankets",extremely useful,1431
1434,local|j,local,j,235,local,extremely useful,1434
1433,leader|n,leader,n,235,"leader, leaders",extremely useful,1433
1432,comic|j,comic,j,235,comic,extremely useful,1432
1438,bury|v,bury,v,234,"bury, buries, burying, buried",extremely useful,1438
1439,whore|n,whore,n,234,"whore, whores",extremely useful,1439
1440,cross|v,cross,v,233,"cross, crosses, crossing, crossed",extremely useful,1440
1441,sheet|n,sheet,n,233,"sheet, sheets",extremely useful,1441
1442,suffer|v,suffer,v,233,"suffer, suffers, suffering, suffered",extremely useful,1442
1443,tax|n,tax,n,233,"tax, taxes",extremely useful,1443
1444,bath|n,bath,n,232,"bath, baths",extremely useful,1444
1445,receive|v,receive,v,232,"receive, receives, receiving, received",extremely useful,1445
1446,sometime|r,sometime,r,232,sometime,extremely useful,1446
1447,split|v,split,v,232,"split, splits, splitting",extremely useful,1447
1449,talent|n,talent,n,231,"talent, talents",extremely useful,1449
1448,soda|n,soda,n,231,"soda, sodas",extremely useful,1448
1450,account|n,account,n,230,"account, accounts",extremely useful,1450
1452,dessert|n,dessert,n,230,"dessert, desserts",extremely useful,1452
1453,purpose|n,purpose,n,230,"purpose, purposes",extremely useful,1453
1454,report|v,report,v,230,"report, reports, reporting, reported",extremely useful,1454
1455,weak|j,weak,j,230,"weak, weaker, weakest",extremely useful,1455
1451,convince|v,convince,v,230,"convince, convinces, convincing, convinced",extremely useful,1451
1457,move|n,move,n,229,"move, moves",extremely useful,1457
1458,support|v,support,v,229,"support, supports, supporting, supported",extremely useful,1458
1456,cheer|v,cheer,v,229,"cheer, cheers, cheering, cheered",extremely useful,1456
1459,research|n,research,n,228,"research, researches",extremely useful,1459
1460,tongue|n,tongue,n,228,"tongue, tongues",extremely useful,1460
1461,Valentine|K,Valentine,K,228,"Valentine, valentine, valentines",extremely useful,1461
1462,pill|n,pill,n,227,"pill, pills",extremely useful,1462
1463,snake|n,snake,n,227,"snake, snakes",extremely useful,1463
1464,battle|n,battle,n,226,"battle, battles",extremely useful,1464
1465,license|n,license,n,226,"license, licenses",extremely useful,1465
1466,nut|n,nut,n,226,"nut, nuts",extremely useful,1466
1468,natural|j,natural,j,225,natural,extremely useful,1468
1467,health|n,health,n,225,health,extremely useful,1467
1469,gorgeous|j,gorgeous,j,223,gorgeous,extremely useful,1469
1470,steak|n,steak,n,223,"steak, steaks",extremely useful,1470
1471,vagina|n,vagina,n,223,"vagina, vaginas, vaginae",extremely useful,1471
1472,audience|n,audience,n,222,"audience, audiences",extremely useful,1472
1473,knee|n,knee,n,222,"knee, knees",extremely useful,1473
1474,term|n,term,n,222,"term, terms",extremely useful,1474
1478,whether|fw,whether,fw,221,whether,extremely useful,1478
1477,sue|v,sue,v,221,"sue, sues, suing, sued",extremely useful,1477
1476,score|n,score,n,221,"score, scores",extremely useful,1476
1475,dance|n,dance,n,221,"dance, dances",extremely useful,1475
1479,artist|n,artist,n,220,"artist, artists",extremely useful,1479
1480,attack|v,attack,v,220,"attack, attacks, attacking, attacked",extremely useful,1480
1481,bang|v,bang,v,220,"bang, bangs, banging, banged",extremely useful,1481
1482,bean|n,bean,n,220,"bean, beans",extremely useful,1482
1483,onto|fw,onto,fw,220,onto,extremely useful,1483
1490,truly|r,truly,r,219,truly,extremely useful,1490
1489,painting|n,painting,n,219,"painting, paintings",extremely useful,1489
1488,lonely|j,lonely,j,219,"lonely, lonelier, loneliest",extremely useful,1488
1487,empty|j,empty,j,219,"empty, emptier, emptiest",extremely useful,1487
1485,breath|n,breath,n,219,"breath, breaths",extremely useful,1485
1484,attractive|j,attractive,j,219,attractive,extremely useful,1484
1486,cover|n,cover,n,219,"cover, covers",extremely useful,1486
1491,army|n,army,n,218,"army, armies",extremely useful,1491
1492,avoid|v,avoid,v,218,"avoid, avoids, avoiding, avoided",extremely useful,1492
1493,gang|n,gang,n,218,"gang, gangs",extremely useful,1493
1494,land|v,land,v,218,"land, lands, landing, landed",extremely useful,1494
1495,nerd|n,nerd,n,218,"nerd, nerds",extremely useful,1495
1496,others|fw,others,fw,218,others,extremely useful,1496
1497,slap|v,slap,v,218,"slap, slaps, slapping, slapped",extremely useful,1497
1498,when|fw,when,fw,218,when,extremely useful,1498
1499,appointment|n,appointment,n,217,"appointment, appointments",extremely useful,1499
1500,dick|n,dick,n,217,"dick, dicks",extremely useful,1500
1501,lesbian|n,lesbian,n,217,"lesbian, lesbians",extremely useful,1501
1502,outfit|n,outfit,n,217,"outfit, outfits",extremely useful,1502
1511,smile|n,smile,n,216,"smile, smiles",extremely useful,1511
1507,pot|n,pot,n,216,"pot, pots",extremely useful,1507
1512,wallet|n,wallet,n,216,"wallet, wallets",extremely useful,1512
1509,salesman|n,salesman,n,216,"salesman, salesmen",extremely useful,1509
1510,slow|j,slow,j,216,"slow, slower, slowest",extremely useful,1510
1508,responsible|j,responsible,j,216,responsible,extremely useful,1508
1504,devil|n,devil,n,216,"devil, devils",extremely useful,1504
1503,adventure|n,adventure,n,216,"adventure, adventures",extremely useful,1503
1506,nurse|n,nurse,n,216,"nurse, nurses",extremely useful,1506
1505,liar|n,liar,n,216,"liar, liars",extremely useful,1505
1513,commit|v,commit,v,215,"commit, commits, committing, committed",extremely useful,1513
1514,example|n,example,n,215,"example, examples",extremely useful,1514
1515,fake|v,fake,v,215,"fake, fakes, faking, faked",extremely useful,1515
1517,pirate|n,pirate,n,215,"pirate, pirates",extremely useful,1517
1518,radio|n,radio,n,215,"radio, radios",extremely useful,1518
1516,obvious|j,obvious,j,215,obvious,extremely useful,1516
1519,chase|v,chase,v,214,"chase, chases, chasing, chased",extremely useful,1519
1520,due|j,due,j,214,due,extremely useful,1520
1521,familiar|j,familiar,j,214,familiar,extremely useful,1521
1522,homework|n,homework,n,214,homework,extremely useful,1522
1526,prefer|v,prefer,v,213,"prefer, prefers, preferring, preferred",extremely useful,1526
1528,sky|n,sky,n,213,"sky, skies",extremely useful,1528
1527,rub|v,rub,v,213,"rub, rubs, rubbing, rubbed",extremely useful,1527
1525,favorite|n,favorite,n,213,"favorite, favorites",extremely useful,1525
1523,birth|n,birth,n,213,"birth, births",extremely useful,1523
1524,Canadian|K,Canadian,K,213,Canadian,extremely useful,1524
1529,basically|r,basically,r,212,basically,extremely useful,1529
1530,coach|n,coach,n,212,"coach, coaches",extremely useful,1530
1531,deliver|v,deliver,v,212,"deliver, delivers, delivering, delivered",extremely useful,1531
1532,laboratory|n,laboratory,n,212,"lab, labs, laboratory, laboratories",extremely useful,1532
1533,address|n,address,n,211,"address, addresses",extremely useful,1533
1534,lift|v,lift,v,211,"lift, lifts, lifting, lifted",extremely useful,1534
1537,round|n,round,n,210,"round, rounds",extremely useful,1537
1538,wish|n,wish,n,210,"wish, wishes",extremely useful,1538
1536,eleven|m,eleven,m,210,"eleven, elevens",extremely useful,1536
1535,concern|v,concern,v,210,"concern, concerns, concerning, concerned",extremely useful,1535
1539,guard|n,guard,n,209,"guard, guards",extremely useful,1539
1540,contact|n,contact,n,208,"contact, contacts",extremely useful,1540
1541,over|j,over,j,208,over,extremely useful,1541
1542,package|n,package,n,208,"package, packages",extremely useful,1542
1543,travel|v,travel,v,208,"travel, travels, traveling, traveled",extremely useful,1543
1544,sixty|m,sixty,m,208,"sixty, sixties",extremely useful,1544
1549,spread|v,spread,v,207,"spread, spreads, spreading",extremely useful,1549
1548,rest|v,rest,v,207,"rest, rests, resting, rested",extremely useful,1548
1547,force|v,force,v,207,"force, forces, forcing, forced",extremely useful,1547
1546,cent|n,cent,n,207,"cent, cents",extremely useful,1546
1545,anniversary|n,anniversary,n,207,"anniversary, anniversaries",extremely useful,1545
1550,adorable|j,adorable,j,206,adorable,extremely useful,1550
1551,ocean|n,ocean,n,206,"ocean, oceans",extremely useful,1551
1552,percent|n,percent,n,206,"percent, percents",extremely useful,1552
1553,shit|u,shit,u,206,shit,extremely useful,1553
1554,wing|n,wing,n,206,"wing, wings",extremely useful,1554
1560,pathetic|j,pathetic,j,205,pathetic,extremely useful,1560
1563,trash|n,trash,n,205,"trash, trashes",extremely useful,1563
1562,sight|n,sight,n,205,"sight, sights",extremely useful,1562
1561,row|n,row,n,205,"row, rows",extremely useful,1561
1558,insurance|n,insurance,n,205,"insurance, insurances",extremely useful,1558
1559,nuclear|j,nuclear,j,205,nuclear,extremely useful,1559
1557,crash|v,crash,v,205,"crash, crashes, crashing, crashed",extremely useful,1557
1556,alcohol|n,alcohol,n,205,"alcohol, alcohols",extremely useful,1556
1555,above|fw,above,fw,205,above,extremely useful,1555
1570,league|n,league,n,204,"league, leagues",extremely useful,1570
1574,writer|n,writer,n,204,"writer, writers",extremely useful,1574
1573,within|fw,within,fw,204,within,extremely useful,1573
1572,waste|n,waste,n,204,"waste, wastes",extremely useful,1572
1571,online|j,online,j,204,online,extremely useful,1571
1567,earn|v,earn,v,204,"earn, earns, earning, earned",extremely useful,1567
1569,impress|v,impress,v,204,"impress, impresses, impressing, impressed",extremely useful,1569
1566,climb|v,climb,v,204,"climb, climbs, climbing, climbed",extremely useful,1566
1565,brave|j,brave,j,204,"brave, braver, bravest",extremely useful,1565
1564,available|j,available,j,204,available,extremely useful,1564
1568,East|n,East,n,204,"East, east",extremely useful,1568
1575,crowd|n,crowd,n,203,"crowd, crowds",extremely useful,1575
1576,flip|v,flip,v,203,"flip, flips, flipping, flipped",extremely useful,1576
1577,hug|n,hug,n,203,"hug, hugs",extremely useful,1577
1582,opinion|n,opinion,n,202,"opinion, opinions",extremely useful,1582
1585,van|n,van,n,202,"van, vans",extremely useful,1585
1584,spit|v,spit,v,202,"spit, spits, spitting, spat",extremely useful,1584
1583,pack|n,pack,n,202,"pack, packs",extremely useful,1583
1578,drag|v,drag,v,202,"drag, drags, dragging, dragged",extremely useful,1578
1581,lousy|j,lousy,j,202,"lousy, lousier, lousiest",extremely useful,1581
1580,literally|r,literally,r,202,literally,extremely useful,1580
1579,funeral|n,funeral,n,202,"funeral, funerals",extremely useful,1579
1593,stripper|n,stripper,n,201,"stripper, strippers",extremely useful,1593
1591,mirror|n,mirror,n,201,"mirror, mirrors",extremely useful,1591
1594,subject|n,subject,n,201,"subject, subjects",extremely useful,1594
1592,recently|r,recently,r,201,recently,extremely useful,1592
1586,behavior|n,behavior,n,201,"behavior, behaviors",extremely useful,1586
1590,itself|fw,itself,fw,201,itself,extremely useful,1590
1587,complain|v,complain,v,201,"complain, complains, complaining, complained",extremely useful,1587
1589,interest|n,interest,n,201,"interest, interests",extremely useful,1589
1588,future|j,future,j,201,"future, futures",extremely useful,1588
1596,design|v,design,v,200,"design, designed, designing, designs",extremely useful,1596
1597,general|j,general,j,200,general,extremely useful,1597
1598,kidney|n,kidney,n,200,"kidney, kidneys",extremely useful,1598
1599,result|n,result,n,200,"result, results",extremely useful,1599
1600,strike|n,strike,n,200,"strike, strikes",extremely useful,1600
1595,bright|j,bright,j,200,"bright, brighter, brightest",extremely useful,1595
1607,yellow|j,yellow,j,199,"yellow, yellower, yellowest",extremely useful,1607
1613,quarter|m,quarter,m,199,"quarter, quarters",extremely useful,1613
1611,original|j,original,j,199,original,extremely useful,1611
1609,Christian|K,Christian,K,199,"Christian, Christians",extremely useful,1609
1608,rise|v,rise,v,199,"rise, risen, rises, rising, rose",extremely useful,1608
1612,position|n,position,n,199,"position, positions",extremely useful,1612
1606,ours|fw,ours,fw,199,ours,extremely useful,1606
1602,correct|j,correct,j,199,correct,extremely useful,1602
1605,nightmare|n,nightmare,n,199,"nightmare, nightmares",extremely useful,1605
1601,corn|n,corn,n,199,"corn, corns",extremely useful,1601
1610,doughnut|n,doughnut,n,199,"doughnut, doughnuts, donut, donuts",extremely useful,1610
1603,grandmother|n,grandmother,n,199,"grandmother, grandmothers",extremely useful,1603
1604,hug|v,hug,v,199,"hug, hugged, hugging, hugs",extremely useful,1604
1614,fool|v,fool,v,198,"fool, fooled, fooling, fools",extremely useful,1614
1617,match|n,match,n,197,"match, matches",extremely useful,1617
1619,traffic|n,traffic,n,197,traffic,extremely useful,1619
1618,play|n,play,n,197,"play, plays",extremely useful,1618
1616,can|n,can,n,197,"can, cans",extremely useful,1616
1615,annoy|v,annoy,v,197,"annoy, annoyed, annoying, annoys",extremely useful,1615
1620,actual|j,actual,j,196,actual,extremely useful,1620
1622,conference|n,conference,n,196,"conference, conferences",extremely useful,1622
1623,lake|n,lake,n,196,"lake, lakes",extremely useful,1623
1624,medical|j,medical,j,196,medical,extremely useful,1624
1625,medicine|n,medicine,n,196,"medicine, medicines",extremely useful,1625
1626,pray|v,pray,v,196,"pray, prayed, praying, prays",extremely useful,1626
1627,shave|v,shave,v,196,"shave, shaved, shaven, shaves, shaving",extremely useful,1627
1628,tub|n,tub,n,196,"tub, tubs",extremely useful,1628
1621,banana|n,banana,n,196,"banana, bananas",extremely useful,1621
1631,South|n,South,n,195,South,extremely useful,1631
1630,option|n,option,n,195,"option, options",extremely useful,1630
1629,bake|v,bake,v,195,"bake, baked, bakes, baking",extremely useful,1629
1633,douchebag|n,douchebag,n,194,"douchebag, douchebags",extremely useful,1633
1634,eventually|r,eventually,r,194,eventually,extremely useful,1634
1635,interrupt|v,interrupt,v,194,"interrupt, interrupted, interrupting, interrupts",extremely useful,1635
1636,library|n,library,n,194,"library, libraries",extremely useful,1636
1637,rude|j,rude,j,194,"rude, ruder, rudest",extremely useful,1637
1632,creepy|j,creepy,j,194,"creepy, creepier, creepiest",extremely useful,1632
1642,math|n,math,n,193,"math, maths",extremely useful,1642
1638,advertisement|n,advertisement,n,193,"ad, ads, advertisement, advertisements, advertizement, advertizements",extremely useful,1638
1639,danger|n,danger,n,193,"danger, dangers",extremely useful,1639
1640,fourteen|m,fourteen,m,193,"fourteen, fourteens",extremely useful,1640
1641,master|n,master,n,193,"master, masters",extremely useful,1641
1643,propose|v,propose,v,193,"propose, proposed, proposes, proposing",extremely useful,1643
1644,Thursday|K,Thursday,K,193,"Thursday, Thursdays",extremely useful,1644
1647,gather|v,gather,v,192,"gather, gathered, gathering, gathers",extremely useful,1647
1648,mostly|r,mostly,r,192,mostly,extremely useful,1648
1649,support|n,support,n,192,"support, supports",extremely useful,1649
1646,darling|n,darling,n,192,"darling, darlings",extremely useful,1646
1645,apart|r,apart,r,192,apart,extremely useful,1645
1654,manage|v,manage,v,191,"manage, managed, manages, managing",extremely useful,1654
1657,weapon|n,weapon,n,191,"weapon, weapons",extremely useful,1657
1656,network|n,network,n,191,"network, networks",extremely useful,1656
1655,meanwhile|r,meanwhile,r,191,meanwhile,extremely useful,1655
1650,bubble|n,bubble,n,191,"bubble, bubbles",extremely useful,1650
